"","id","Resample","variable","value"
"218","PCA","Fold03.Rep2","SVM~Accuracy",0.724346076458752
"219","PCA","Fold03.Rep3","SVM~Accuracy",0.678068410462777
"220","PCA","Fold04.Rep1","SVM~Accuracy",0.709677419354839
"221","PCA","Fold04.Rep2","SVM~Accuracy",0.698795180722892
"222","PCA","Fold04.Rep3","SVM~Accuracy",0.700201207243461
"223","PCA","Fold05.Rep1","SVM~Accuracy",0.69215291750503
"224","PCA","Fold05.Rep2","SVM~Accuracy",0.695564516129032
"225","PCA","Fold05.Rep3","SVM~Accuracy",0.719191919191919
"226","PCA","Fold06.Rep1","SVM~Accuracy",0.682730923694779
"227","PCA","Fold06.Rep2","SVM~Accuracy",0.668674698795181
"228","PCA","Fold06.Rep3","SVM~Accuracy",0.688128772635815
"229","PCA","Fold07.Rep1","SVM~Accuracy",0.704819277108434
"230","PCA","Fold07.Rep2","SVM~Accuracy",0.694949494949495
"231","PCA","Fold07.Rep3","SVM~Accuracy",0.714859437751004
"232","PCA","Fold08.Rep1","SVM~Accuracy",0.716867469879518
"233","PCA","Fold08.Rep2","SVM~Accuracy",0.680722891566265
"234","PCA","Fold08.Rep3","SVM~Accuracy",0.706827309236948
"235","PCA","Fold09.Rep1","SVM~Accuracy",0.706237424547284
"236","PCA","Fold09.Rep2","SVM~Accuracy",0.67741935483871
"237","PCA","Fold09.Rep3","SVM~Accuracy",0.718875502008032
"238","PCA","Fold10.Rep1","SVM~Accuracy",0.698189134808853
"239","PCA","Fold10.Rep2","SVM~Accuracy",0.692771084337349
"240","PCA","Fold10.Rep3","SVM~Accuracy",0.678714859437751
"241","Raw","Fold01.Rep1","LDA~Accuracy",0.668008048289738
"242","Raw","Fold01.Rep2","LDA~Accuracy",0.690140845070423
"243","Raw","Fold01.Rep3","LDA~Accuracy",0.653923541247485
"244","Raw","Fold02.Rep1","LDA~Accuracy",0.636546184738956
"245","Raw","Fold02.Rep2","LDA~Accuracy",0.62374245472837
"246","Raw","Fold02.Rep3","LDA~Accuracy",0.679435483870968
"247","Raw","Fold03.Rep1","LDA~Accuracy",0.618473895582329
"248","Raw","Fold03.Rep2","LDA~Accuracy",0.629032258064516
"249","Raw","Fold03.Rep3","LDA~Accuracy",0.6285140562249
"250","Raw","Fold04.Rep1","LDA~Accuracy",0.640562248995984
"251","Raw","Fold04.Rep2","LDA~Accuracy",0.629778672032193
"252","Raw","Fold04.Rep3","LDA~Accuracy",0.63508064516129
